1|공지를 잘쓰는 방법|글을 뼈대를 잡는다->글의 내용을 잘 이해한다.|0|0|0
2|만약에 csv파일 내에서 쉼표를 처리하�키보드 숫자 1 옆의 작은 따옴표처럼 생긴녀석을 이용하자|키보드 숫자 1 옆의 작은 따옴표처럼 생긴녀석을 이용하자|0|0|123456
3| 고옹지|공지사하아아아아아앙|0| |1743823716
4| 공지2|공지사항2 번째입니다.|0| |1743824076
5| 공지2|공지사항2 번째입니다.|0| |1743824076
6| 공지2|공지사항2 번째입니다.|0| |1743824076
12| 공지2|공지사항2 번째입니다.|0| |1743824076
13| 공지2|공지사항2 번째입니다.|0| |1743824076
14| 공지2|공지사항2 번째입니다.|0| |1743824076
15| 공지2|공지사항2 번째입니다.|0| |1743824076
16| 공지2|공지사항2 번째입니다.|0| |1743824076
17| 공지2|공지사항2 번째입니다.|0| |1743824076
18| 공지2|공지사항2 번째입니다.|0| |1743824076
19| 공지2|공지사항2 번째입니다.|0| |1743824076
